signal_date,code,name,market,snapshot_generated_at,snapshot_price,trade_value,hard_reject,failed_ids,grade,grade_status,directness_points,freshness_points,evidence_title,evidence_at,change_rate,digest_ratio,risk_rate,entry_time,entry_last,entry_ask,entry_bid,spread_pct,v5_status,v5_eligible,v5_lane,v5_size_band,v5_blockers,daily_pick,daily_rank,errors,next_date,first_time,first_last,first_bid,last_time,last_last,last_bid,max_last,max_bid,min_last,min_bid,max_trade_return_pct,max_executable_return_pct,last_executable_return_pct,positive_exec,hit_0_5_exec,hit_1_exec,hit_2_exec,hit_3_exec,open_observations,outcome_status,policy_return_3pct
2026-09-01,096770,SK이노베이션,2,2026-09-01T19:33:15.612071+09:00,135300,319059000000,False,[],S,PROVISIONAL,13.0,10.0,구조대 출동?…美 ESS 수주에 들썩인 '이 주식',2026-09-01T14:33:00+09:00,7.81,0.674,0.005913,15:18,135300.0,135400.0,135300.0,0.0739,WATCH,False,NONE,BASE,"[""change_rate_10_to_15pct""]",False,,[],,,,,,,,,,,,,,,,,,,,,,
2026-09-01,005930,삼성전자,2,2026-09-01T19:33:15.612071+09:00,261000,3308883000000,False,[],A,CONFIRMED,0.0,0.0,,,0.38,0.211,0.012103,15:18,260250.0,260500.0,260000.0,0.1919,WATCH,False,NONE,BASE,"[""change_rate_10_to_15pct""]",False,,[],,,,,,,,,,,,,,,,,,,,,,
2026-09-01,402340,SK스퀘어,2,2026-09-01T19:33:15.612071+09:00,1067000,454392000000,False,[],B,CONFIRMED,0.0,0.0,,,2.89,0.091,0.002437,15:18,1063000.0,1064000.0,1063000.0,0.094,WATCH,False,NONE,BASE,"[""digestion_at_least_0_10"",""change_rate_10_to_15pct""]",False,,[],,,,,,,,,,,,,,,,,,,,,,
2026-09-01,034730,SK,2,2026-09-01T19:33:15.612071+09:00,586000,95263000000,False,[],B,CONFIRMED,15.0,3.0,SK(주) (정정)회사합병 결정(자회사의 주요경영사항),2026-08-26T15:50:47+09:00,7.52,0.136,0.045392,15:18,584000.0,584000.0,583000.0,0.1712,WATCH,False,NONE,HALF,"[""change_rate_10_to_15pct""]",False,,[],,,,,,,,,,,,,,,,,,,,,,
2026-09-01,064550,바이오니아,2,2026-09-01T19:33:15.612071+09:00,11000,56659382000,False,"[""S_LEADER""]",B,CONFIRMED,4.0,0.0,"투심 돌아오나, 실적·개발 성과 입증된 바이오 신라젠·바이오니아·...",2026-08-21T07:02:00+09:00,25.14,2.74,0.007273,15:18,11060.0,11060.0,11050.0,0.0904,WATCH,False,NONE,BASE,"[""change_rate_10_to_15pct"",""digestion_at_most_1_00""]",False,,[],,,,,,,,,,,,,,,,,,,,,,
2026-09-01,278470,에이피알,2,2026-09-01T19:33:15.612071+09:00,432500,112771000000,False,"[""C_LOCATION""]",A,CONFIRMED,8.0,3.0,화장품株 실적 기대감 속 불기둥…“밸류에이션 매력적” [이런국장 ...,2026-08-28T14:50:00+09:00,-6.89,0.435,0.019769,15:18,431000.0,431500.0,431000.0,0.1159,WATCH,False,NONE,BASE,"[""change_rate_10_to_15pct""]",False,,[],,,,,,,,,,,,,,,,,,,,,,
2026-09-01,011070,LG이노텍,2,2026-09-01T19:33:15.612071+09:00,590000,233967000000,False,"[""C_LOCATION""]",B,CONFIRMED,13.0,3.0,"LG이노텍, 아마존 로보택시에 '카메라모듈' 공급",2026-08-28T04:10:00+09:00,-8.1,0.23,0.001949,15:18,591000.0,592000.0,591000.0,0.1689,WATCH,False,NONE,BASE,"[""change_rate_10_to_15pct""]",False,,[],,,,,,,,,,,,,,,,,,,,,,
2026-09-01,396300,세아메카닉스,2,2026-09-01T19:33:15.612071+09:00,5200,27953150000,True,"[""X_TRADE_VALUE"",""ENTRY_STOP_AUTO"",""NEXT_DAY_PLAN_AUTO""]",REJECT,CONFIRMED,0.0,0.0,,,13.79,0.518,0.105577,15:18,5230.0,5230.0,5220.0,0.1912,BLOCK,False,NONE,NO_POSITION,"[""hard_exclusion_clear"",""structural_risk_at_most_10pct""]",False,,[],,,,,,,,,,,,,,,,,,,,,,
2026-09-01,045390,대아티아이,2,2026-09-01T19:33:15.612071+09:00,3545,20046726000,True,"[""X_TRADE_VALUE""]",REJECT,CONFIRMED,15.0,3.0,대아티아이(주) (정정)단일판매ㆍ공급계약체결,2026-08-28T15:51:35+09:00,15.28,0.38,0.025106,15:18,3530.0,3530.0,3520.0,0.2833,BLOCK,False,NONE,BASE,"[""hard_exclusion_clear"",""spread_at_most_0_10pct""]",False,,[],,,,,,,,,,,,,,,,,,,,,,
2026-09-01,005935,삼성전자우,2,2026-09-01T19:33:15.612071+09:00,190300,298579000000,False,"[""S_CATALYST"",""S_LEADER""]",B,CONFIRMED,0.0,0.0,,,2.04,0.141,0.021834,15:18,190000.0,190100.0,190000.0,0.0526,BLOCK,False,NONE,BASE,"[""common_stock_only"",""change_rate_10_to_15pct""]",False,,[],,,,,,,,,,,,,,,,,,,,,,
