video_id,title,rule_id,rule_name,group,start,end,normalized_time
03-AcIXuUpI,"""장마감 하고 이 훈련만 하세요"" 내일 매매할 종목이 보입니다",U01_TRADE_VALUE,거래대금·거래량 주도성,종목 자격,0.0,15.8,0.0
03-AcIXuUpI,"""장마감 하고 이 훈련만 하세요"" 내일 매매할 종목이 보입니다",U03_CATALYST,재료의 신규성·직접성,종목 자격,0.0,72.74,0.0
03-AcIXuUpI,"""장마감 하고 이 훈련만 하세요"" 내일 매매할 종목이 보입니다",X01_NEXT_DAY,익일 시초가·1파 청산 계획,실행 계획,0.0,15.8,0.0
03-AcIXuUpI,"""장마감 하고 이 훈련만 하세요"" 내일 매매할 종목이 보입니다",U02_LEADER,섹터 대장·주도주 유지,종목 자격,25.5,46.9,0.0486
03-AcIXuUpI,"""장마감 하고 이 훈련만 하세요"" 내일 매매할 종목이 보입니다",C01_REFERENCE_CANDLE,기준봉·강한 거래대금 봉,차트 자격,63.64,103.2,0.1214
03-AcIXuUpI,"""장마감 하고 이 훈련만 하세요"" 내일 매매할 종목이 보입니다",C02_RESISTANCE,전고점·박스·월봉 매물대,차트 자격,113.54,181.08,0.2166
03-AcIXuUpI,"""장마감 하고 이 훈련만 하세요"" 내일 매매할 종목이 보입니다",C01_REFERENCE_CANDLE,기준봉·강한 거래대금 봉,차트 자격,120.32,145.42,0.2295
03-AcIXuUpI,"""장마감 하고 이 훈련만 하세요"" 내일 매매할 종목이 보입니다",X01_NEXT_DAY,익일 시초가·1파 청산 계획,실행 계획,130.82,155.74,0.2496
03-AcIXuUpI,"""장마감 하고 이 훈련만 하세요"" 내일 매매할 종목이 보입니다",U01_TRADE_VALUE,거래대금·거래량 주도성,종목 자격,136.92,177.08,0.2612
03-AcIXuUpI,"""장마감 하고 이 훈련만 하세요"" 내일 매매할 종목이 보입니다",U03_CATALYST,재료의 신규성·직접성,종목 자격,181.08,236.72,0.3455
03-AcIXuUpI,"""장마감 하고 이 훈련만 하세요"" 내일 매매할 종목이 보입니다",U02_LEADER,섹터 대장·주도주 유지,종목 자격,188.28,232.8,0.3592
03-AcIXuUpI,"""장마감 하고 이 훈련만 하세요"" 내일 매매할 종목이 보입니다",C01_REFERENCE_CANDLE,기준봉·강한 거래대금 봉,차트 자격,232.8,320.6,0.4441
03-AcIXuUpI,"""장마감 하고 이 훈련만 하세요"" 내일 매매할 종목이 보입니다",X01_NEXT_DAY,익일 시초가·1파 청산 계획,실행 계획,307.44,335.84,0.5865
03-AcIXuUpI,"""장마감 하고 이 훈련만 하세요"" 내일 매매할 종목이 보입니다",I03_STRUCTURE,핵심 구조선 유지,장중 전개,331.04,350.56,0.6316
03-AcIXuUpI,"""장마감 하고 이 훈련만 하세요"" 내일 매매할 종목이 보입니다",U02_LEADER,섹터 대장·주도주 유지,종목 자격,354.44,399.64,0.6762
03-AcIXuUpI,"""장마감 하고 이 훈련만 하세요"" 내일 매매할 종목이 보입니다",U03_CATALYST,재료의 신규성·직접성,종목 자격,368.04,399.64,0.7021
03-AcIXuUpI,"""장마감 하고 이 훈련만 하세요"" 내일 매매할 종목이 보입니다",C01_REFERENCE_CANDLE,기준봉·강한 거래대금 봉,차트 자격,399.64,449.2,0.7624
03-AcIXuUpI,"""장마감 하고 이 훈련만 하세요"" 내일 매매할 종목이 보입니다",C02_RESISTANCE,전고점·박스·월봉 매물대,차트 자격,425.96,473.92,0.8126
03-AcIXuUpI,"""장마감 하고 이 훈련만 하세요"" 내일 매매할 종목이 보입니다",X01_NEXT_DAY,익일 시초가·1파 청산 계획,실행 계획,431.08,493.52,0.8224
03-AcIXuUpI,"""장마감 하고 이 훈련만 하세요"" 내일 매매할 종목이 보입니다",U03_CATALYST,재료의 신규성·직접성,종목 자격,442.8,477.92,0.8448
03-AcIXuUpI,"""장마감 하고 이 훈련만 하세요"" 내일 매매할 종목이 보입니다",U02_LEADER,섹터 대장·주도주 유지,종목 자격,462.32,490.32,0.882
