신호일,상태,종목코드,종목명,신호가격,종가,다음거래일,다음시가,비용전%,비용후%,평가상태
2026-09-07,DATA_BLOCK,,,,,,,,,NOT_APPLICABLE
2026-09-08,DATA_BLOCK,,,,,,,,,NOT_APPLICABLE
2026-09-09,DATA_BLOCK,,,,,,,,,NOT_APPLICABLE
2026-09-10,DATA_BLOCK,,,,,,,,,NOT_APPLICABLE
2026-09-11,DATA_BLOCK,,,,,,,,,NOT_APPLICABLE
2026-09-14,DATA_BLOCK,,,,,,,,,NOT_APPLICABLE
2026-09-15,DATA_BLOCK,,,,,,,,,NOT_APPLICABLE
2026-09-16,DATA_BLOCK,,,,,,,,,NOT_APPLICABLE
2026-09-17,DATA_BLOCK,,,,,,,,,NOT_APPLICABLE
2026-09-18,DATA_BLOCK,,,,,,,,,NOT_APPLICABLE
2026-09-21,DATA_BLOCK,,,,,,,,,NOT_APPLICABLE
