condition,pass_n,pass_mean_pct,pass_loss_rate,pass_hit3_rate,fail_n,fail_mean_pct,mean_diff_pct_point
안전 제외 통과,115,-1.629472,0.704348,0.121739,29,-0.714814,-0.914658
보통주만,139,-1.460897,0.683453,0.143885,5,-1.01084,-0.450057
위험거리 10% 이하,58,-1.049517,0.672414,0.086207,86,-1.712173,0.662656
당일 상승 10~15%,30,0.30432,0.433333,0.333333,114,-1.905689,2.210009
거래대금 소화 0.10~1.00,101,-1.155133,0.683168,0.128713,43,-2.126756,0.971623
직접성 14점 이상,35,-1.061654,0.657143,0.114286,109,-1.56845,0.506796
신선도 3점 이상,86,-1.696157,0.709302,0.116279,58,-1.073266,-0.622891
스프레드 0.20% 이하,118,-1.568155,0.70339,0.127119,26,-0.887562,-0.680593
스프레드 0.10% 이하,53,-1.228253,0.641509,0.169811,91,-1.571665,0.343412
v5 두 경로 통과,5,2.57282,0.0,0.6,139,-1.589806,4.162626
v5 날짜별 최종 1종목,4,2.466025,0.0,0.5,140,-1.557021,4.023046
