scenario,trades,mean_return_pct,sum_return_pct,loss_rate,hit3_rate,development_trades,development_mean_pct,validation_trades,validation_mean_pct,selected_names
기준 v5,4,2.466025,9.8641,0.0,0.5,1,2.2388,3,2.541767,"두산에너빌리티, HD현대일렉트릭, SK이노베이션, SK이노베이션"
위험 상한 6%,3,2.288033,6.8641,0.0,0.333333,1,2.2388,2,2.31265,"두산에너빌리티, SK이노베이션, SK이노베이션"
위험 상한 8%,3,2.288033,6.8641,0.0,0.333333,1,2.2388,2,2.31265,"두산에너빌리티, SK이노베이션, SK이노베이션"
위험 상한 12%,4,2.466025,9.8641,0.0,0.5,1,2.2388,3,2.541767,"두산에너빌리티, HD현대일렉트릭, SK이노베이션, SK이노베이션"
위험 상한 15%,4,2.466025,9.8641,0.0,0.5,1,2.2388,3,2.541767,"두산에너빌리티, HD현대일렉트릭, SK이노베이션, SK이노베이션"
추세 상승 9~15%,4,2.466025,9.8641,0.0,0.5,1,2.2388,3,2.541767,"두산에너빌리티, 효성중공업, SK이노베이션, SK이노베이션"
추세 상승 10~16%,4,2.466025,9.8641,0.0,0.5,1,2.2388,3,2.541767,"두산에너빌리티, HD현대일렉트릭, SK이노베이션, SK이노베이션"
추세 상승 11~15%,4,2.656325,10.6253,0.0,0.75,1,3.0,3,2.541767,"현대건설, HD현대일렉트릭, SK이노베이션, SK이노베이션"
추세 거래대금 상한 0.8,3,2.541767,7.6253,0.0,0.666667,0,,3,2.541767,"HD현대일렉트릭, SK이노베이션, SK이노베이션"
추세 거래대금 상한 1.2,4,2.466025,9.8641,0.0,0.5,1,2.2388,3,2.541767,"두산에너빌리티, HD현대일렉트릭, SK이노베이션, SK이노베이션"
추세 스프레드 0.15%,4,2.466025,9.8641,0.0,0.5,1,2.2388,3,2.541767,"두산에너빌리티, HD현대일렉트릭, SK이노베이션, SK이노베이션"
추세 스프레드 0.25%,4,2.466025,9.8641,0.0,0.5,1,2.2388,3,2.541767,"두산에너빌리티, HD현대일렉트릭, SK이노베이션, SK이노베이션"
직접성 12점,5,1.43512,7.1756,0.2,0.2,2,1.30525,3,1.5217,"고려아연, 두산에너빌리티, HD현대일렉트릭, SK이노베이션, SK하이닉스"
직접성 15점,2,2.6194,5.2388,0.0,0.5,1,2.2388,1,3.0,"두산에너빌리티, HD현대일렉트릭"
신선도 7점,4,2.466025,9.8641,0.0,0.5,1,2.2388,3,2.541767,"두산에너빌리티, HD현대일렉트릭, SK이노베이션, SK이노베이션"
직접형 거래대금 상한 1.0,4,2.466025,9.8641,0.0,0.5,1,2.2388,3,2.541767,"두산에너빌리티, HD현대일렉트릭, SK이노베이션, SK이노베이션"
직접형 거래대금 상한 2.0,4,2.466025,9.8641,0.0,0.5,1,2.2388,3,2.541767,"두산에너빌리티, HD현대일렉트릭, SK이노베이션, SK이노베이션"
직접형 스프레드 0.08%,3,2.746267,8.2388,0.0,0.666667,1,2.2388,2,3.0,"두산에너빌리티, HD현대일렉트릭, SK이노베이션"
직접형 스프레드 0.12%,5,1.53044,7.6522,0.2,0.4,2,0.01345,3,2.541767,"두산에너빌리티, 두산에너빌리티, HD현대일렉트릭, SK이노베이션, SK이노베이션"
