signal_date,next_date,candidate_count,official_qualified_count,proxy_qualified_count,official_trade_action,proxy_trade_action,code,name,official_lane,proxy_lane,quality,risk_rate,spread_pct,change_rate,digest_ratio,close_location,upper_wick,body_ratio,theme_breadth,leader_rank,directness_points,freshness_points,evidence_title,entry_ask,entry_bid,max_executable_return_pct,last_executable_return_pct,official_policy_return_pct,official_hit3,signal_close_proxy,next_open_proxy,next_high_proxy,next_low_proxy,next_close_proxy,next_open_return_pct,next_high_return_pct,next_low_return_pct,next_close_return_pct,proxy_full_day_policy_return_pct,proxy_hit3_full_day,proxy_status
2026-06-01,2026-06-02,24,0,0,NO_TRADE,NO_TRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_ELIGIBLE
2026-06-02,2026-06-04,24,0,0,NO_TRADE,NO_TRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_ELIGIBLE
2026-06-04,2026-06-05,24,0,0,NO_TRADE,NO_TRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_ELIGIBLE
2026-06-05,2026-06-08,24,0,0,NO_TRADE,NO_TRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_ELIGIBLE
2026-06-08,2026-06-09,24,0,0,NO_TRADE,NO_TRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_ELIGIBLE
2026-06-09,2026-06-10,24,0,1,NO_TRADE,BUY_PROXY,402340,SK스퀘어,,CLOSE_POWER,83.92,0.06174152876280536,,13.50626118067979,0.5889762775938576,0.968503937007874,0.031496062992125984,0.7559055118110236,1.0,3.0,0.0,0.0,,,,,,,,1269000.0,1210000.0,1231000.0,1139000.0,1183000.0,-4.6493,-2.9945,-10.2443,-6.777,-6.777,False,PROVISIONAL_NO_QUOTE
2026-06-10,2026-06-11,24,0,0,NO_TRADE,NO_TRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_ELIGIBLE
2026-06-11,2026-06-12,24,0,0,NO_TRADE,NO_TRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_ELIGIBLE
2026-06-12,2026-06-15,24,0,0,NO_TRADE,NO_TRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_ELIGIBLE
2026-06-15,2026-06-16,24,0,0,NO_TRADE,NO_TRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_ELIGIBLE
2026-06-16,2026-06-17,24,0,0,NO_TRADE,NO_TRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_ELIGIBLE
2026-06-17,2026-06-18,24,0,0,NO_TRADE,NO_TRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_ELIGIBLE
2026-06-18,2026-06-19,24,0,0,NO_TRADE,NO_TRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_ELIGIBLE
2026-06-19,2026-06-22,24,0,0,NO_TRADE,NO_TRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_ELIGIBLE
2026-06-22,2026-06-23,24,0,0,NO_TRADE,NO_TRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_ELIGIBLE
2026-06-23,2026-06-24,24,0,0,NO_TRADE,NO_TRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_ELIGIBLE
2026-06-24,2026-06-25,24,0,3,NO_TRADE,BUY_PROXY,207940,삼성바이오로직스,,CLOSE_POWER,97.4,0.03444043321299639,,8.798114689709347,0.6093538686114102,0.9202898550724637,0.07971014492753623,0.6884057971014492,1.0,1.0,15.0,7.0,삼성바이오로직스(주) (정정)단일판매ㆍ공급계약체결,,,,,,,1385000.0,1383000.0,1428000.0,1361000.0,1386000.0,-0.1444,3.1047,-1.7329,0.0722,3.0,True,PROVISIONAL_NO_QUOTE
2026-06-25,2026-06-26,24,0,0,NO_TRADE,NO_TRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_ELIGIBLE
2026-06-26,2026-06-29,24,0,0,NO_TRADE,NO_TRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_ELIGIBLE
2026-06-29,2026-06-30,24,0,1,NO_TRADE,BUY_PROXY,034020,두산에너빌리티,,CLOSE_POWER,90.4,0.0075,,8.508014796547481,0.3545868976233423,0.9333333333333333,0.06666666666666667,0.8444444444444444,1.0,11.0,4.0,0.0,두산에너빌리티(주) 단일판매ㆍ공급계약체결,,,,,,,88000.0,88400.0,88600.0,84500.0,86800.0,0.4545,0.6818,-3.9773,-1.3636,-1.3636,False,PROVISIONAL_NO_QUOTE
2026-06-30,2026-07-01,24,0,0,NO_TRADE,NO_TRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_ELIGIBLE
