variant,aug_trades,aug_positive,aug_hit3,aug_mean,aug_sum,aug_median,aug_worst,jul_trades,jul_positive_open,jul_positive_close,jul_hit3,jul_mean,jul_sum,jul_worst_close
baseline,4,4,3,2.656325,10.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
mom_digest_min_025,4,4,3,2.656325,10.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
mom_digest_min_035,3,3,2,2.5417666666666667,7.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
mom_breadth_075,4,4,3,2.656325,10.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
mom_breadth_085,4,4,3,2.656325,10.6253,3.0,1.6253,3,2,3,3,3.0,9.0,1.4656
mom_followers_1,4,4,3,2.656325,10.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
mom_trade_50b,4,4,3,2.656325,10.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
mom_trade_150b,4,4,3,2.656325,10.6253,3.0,1.6253,3,2,3,3,3.0,9.0,1.4656
mom_pattern_allow100,4,4,3,2.656325,10.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
mom_close_060,4,4,3,2.656325,10.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
mom_close_070,4,4,3,2.656325,10.6253,3.0,1.6253,3,2,3,3,3.0,9.0,1.4656
du_no_audit,4,4,3,2.656325,10.6253,3.0,1.6253,5,2,4,4,1.9814399999999999,9.9072,-2.0928
du_close_030,4,4,3,2.656325,10.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
du_close_040,4,4,3,2.656325,10.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
du_change_max2,4,4,3,2.656325,10.6253,3.0,1.6253,3,1,3,3,3.0,9.0,1.4656
du_change_max4,4,4,3,2.656325,10.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
du_risk4,4,4,3,2.656325,10.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
du_risk6,4,4,3,2.656325,10.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
du_direct14,4,4,3,2.656325,10.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
dr_fresh3,4,4,3,2.656325,10.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
dr_fresh10,4,4,3,2.656325,10.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
dr_close075,4,4,3,2.656325,10.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
dr_close085,4,4,3,2.656325,10.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
dr_risk5,4,4,3,2.656325,10.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
dr_risk8,4,4,3,2.656325,10.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
dr_no_audit,4,4,3,2.656325,10.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
tc_breadth080,4,4,3,2.656325,10.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
tc_risk6,4,4,3,2.656325,10.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
tc_spread012,4,4,3,2.656325,10.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
tc_body050,4,4,3,2.656325,10.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
tc_digest025_065,4,4,3,2.656325,10.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
tc_remove_volume,4,4,3,2.656325,10.6253,3.0,1.6253,4,2,4,4,3.0,12.0,1.4656
