signal_date,candidate_rows,evaluated_rows,overall_hits,overall_hit_rate,selected_rows,selected_hits,selected_hit_rate,selected_names
2026-08-03,24,0,0,,0,0,,
2026-08-04,24,0,0,,0,0,,
2026-08-05,24,0,0,,0,0,,
2026-08-06,24,0,0,,0,0,,
2026-08-07,24,0,0,,0,0,,
2026-08-10,24,0,0,,0,0,,
2026-08-11,24,0,0,,0,0,,
2026-08-12,24,0,0,,0,0,,
2026-08-13,24,0,0,,0,0,,
2026-08-14,24,0,0,,0,0,,
2026-08-18,24,0,0,,0,0,,
2026-08-19,24,0,0,,0,0,,
2026-08-20,24,0,0,,0,0,,
2026-08-21,24,0,0,,0,0,,
2026-08-24,24,24,2,0.08333333333333333,0,0,,
2026-08-25,24,24,7,0.2916666666666667,0,0,,
2026-08-26,24,24,1,0.041666666666666664,0,0,,
2026-08-27,24,24,5,0.20833333333333334,0,0,,
2026-08-28,24,24,1,0.041666666666666664,1,0,0.0,SK이노베이션
2026-08-31,24,24,4,0.16666666666666666,1,1,1.0,SK이노베이션
