policy,period,days,stocks,wins,losses,win_rate,compound_pct,log_growth,mdd_pct,mean_trade_pct,worst_day_pct,profit_factor,eligible_weeks,covered_weeks,coverage,missing
balanced,development,110,110,93,17,0.8454545454545455,72.89371355771017,0.5475068472067833,-11.521345906204017,0.5333098465396795,-9.63609958506224,1.891652115865945,52,52,1.0,0
balanced,selection,52,52,34,18,0.6538461538461539,10.07662778362537,0.09600655349464798,-22.33806358041608,0.3797769470873537,-12.862814070351758,1.213595892364878,24,24,1.0,0
balanced,followup,94,94,71,23,0.7553191489361702,-23.183507917646097,-0.26375082823228996,-31.442822448112338,-0.16925537265618765,-22.6015873015873,0.8805765228758222,42,42,1.0,0
balanced,all,256,256,198,58,0.7734375,46.19374440273174,0.37976257246914125,-35.8924257595794,0.24415030991494335,-22.6015873015873,1.2144367207351485,120,120,1.0,0
win_priority,development,110,110,93,17,0.8454545454545455,69.74694362147285,0.5291385751132012,-11.521345906204017,0.5175973868446152,-9.63609958506224,1.8422545824688041,52,52,1.0,0
win_priority,selection,52,52,36,16,0.6923076923076923,2.640466176186118,0.026062076165814463,-24.496594782843985,0.16983336324541953,-12.862814070351758,1.1096322363436633,24,24,1.0,0
win_priority,followup,94,94,73,21,0.776595744680851,-13.088463700927067,-0.14027940879847886,-38.48773663547587,-0.04263161367081328,-22.6015873015873,0.9669663998485474,42,42,1.0,0
win_priority,all,256,256,202,54,0.7890625,51.42514773054727,0.41492124248053697,-48.686463982713455,0.2412487334242697,-22.6015873015873,1.2291933941310982,120,120,1.0,0
return_priority,development,110,110,91,19,0.8272727272727273,90.33209429559956,0.6436002251481475,-11.521345906204028,0.6215904832258522,-9.63609958506224,1.9994296681066326,52,52,1.0,0
return_priority,selection,52,52,33,19,0.6346153846153846,12.035443768086562,0.11364509745845569,-22.33806358041609,0.4141237939342003,-12.862814070351758,1.2304811887496026,24,24,1.0,0
return_priority,followup,94,94,66,28,0.7021276595744681,-29.11581258444158,-0.34412280390300054,-34.16342795213729,-0.250266420933124,-22.6015873015873,0.8403847772356432,42,42,1.0,0
return_priority,all,256,256,190,66,0.7421875,51.15302053110007,0.4131225187036025,-38.268508532891055,0.25931385496761133,-22.6015873015873,1.2146745803131649,120,120,1.0,0
same_engine_weekly_cap2,development,104,104,76,28,0.7307692307692307,-29.57293157637534,-0.35059250206946224,-38.83484172511956,-0.26697262999447674,-11.01428571428571,0.7855865981390832,52,52,1.0,0
same_engine_weekly_cap2,selection,50,50,45,5,0.9,117.35093592109749,0.7763430774926375,-7.922540116978927,1.6320000380226605,-4.759308807134898,5.94430414879199,24,24,1.0,0
same_engine_weekly_cap2,followup,86,86,63,23,0.7325581395348837,49.86366892363885,0.4045558209894957,-30.11077498906666,0.5458611007569789,-9.489189189189185,1.5464235533679296,42,42,1.0,0
same_engine_weekly_cap2,all,242,242,185,57,0.7644628099173554,107.89957046881176,0.7318849428266594,-38.83484172511956,0.37789089795793246,-11.01428571428571,1.378378448221428,120,120,1.0,0
same_engine_no_cap,development,240,240,181,59,0.7541666666666667,-47.313929953282866,-0.6408190908701543,-58.47917245828669,-0.18539628912979875,-18.653831598864713,0.8576388259412598,52,52,1.0,0
same_engine_no_cap,selection,117,117,96,21,0.8205128205128205,85.4464110206324,0.6175957649461794,-24.213292661864937,0.5938373072043486,-12.680204241948157,1.7484978699516895,24,24,1.0,0
same_engine_no_cap,followup,203,203,149,54,0.7339901477832512,49.36628452447805,0.40123138871582725,-47.11595650315065,0.2907655699251423,-13.859322033898305,1.2309999672717953,42,42,1.0,0
same_engine_no_cap,all,562,562,427,135,0.7597864768683275,32.25829556940825,0.2795866092058408,-58.47917245828669,0.13288249200279895,-18.653831598864713,1.1113502789966687,120,120,1.0,0
