policy,week,market_days,entry_days,at_least_two
balanced,2024-W01,4,2,True
balanced,2024-W02,5,2,True
balanced,2024-W03,5,2,True
balanced,2024-W04,5,2,True
balanced,2024-W05,5,2,True
balanced,2024-W06,4,2,True
balanced,2024-W07,4,2,True
balanced,2024-W08,5,2,True
balanced,2024-W09,4,2,True
balanced,2024-W10,5,2,True
balanced,2024-W11,5,3,True
balanced,2024-W12,5,2,True
balanced,2024-W13,5,2,True
balanced,2024-W14,5,2,True
balanced,2024-W15,4,2,True
balanced,2024-W16,5,2,True
balanced,2024-W17,5,2,True
balanced,2024-W18,4,4,True
balanced,2024-W19,4,2,True
balanced,2024-W20,4,2,True
balanced,2024-W21,5,2,True
balanced,2024-W22,5,2,True
balanced,2024-W23,4,2,True
balanced,2024-W24,5,2,True
balanced,2024-W25,5,2,True
balanced,2024-W26,5,2,True
balanced,2024-W27,5,2,True
balanced,2024-W28,5,3,True
balanced,2024-W29,5,2,True
balanced,2024-W30,5,4,True
balanced,2024-W31,5,2,True
balanced,2024-W32,5,2,True
balanced,2024-W33,4,2,True
balanced,2024-W34,5,2,True
balanced,2024-W35,5,2,True
balanced,2024-W36,5,2,True
balanced,2024-W37,5,2,True
balanced,2024-W38,2,2,True
balanced,2024-W39,5,2,True
balanced,2024-W40,3,2,True
balanced,2024-W41,4,2,True
balanced,2024-W42,5,2,True
balanced,2024-W43,5,2,True
balanced,2024-W44,5,2,True
balanced,2024-W45,5,2,True
balanced,2024-W46,5,2,True
balanced,2024-W47,5,2,True
balanced,2024-W48,5,2,True
balanced,2024-W49,5,2,True
balanced,2024-W50,5,2,True
balanced,2024-W51,5,2,True
balanced,2024-W52,4,2,True
balanced,2025-W01,3,2,True
balanced,2025-W02,5,2,True
balanced,2025-W03,5,3,True
balanced,2025-W04,5,2,True
balanced,2025-W05,1,1,False
balanced,2025-W06,5,2,True
balanced,2025-W07,5,2,True
balanced,2025-W08,5,2,True
balanced,2025-W09,5,2,True
balanced,2025-W10,4,2,True
balanced,2025-W11,5,2,True
balanced,2025-W12,5,2,True
balanced,2025-W13,5,2,True
balanced,2025-W14,5,2,True
balanced,2025-W15,5,2,True
balanced,2025-W16,5,2,True
balanced,2025-W17,5,2,True
balanced,2025-W18,4,2,True
balanced,2025-W19,3,2,True
balanced,2025-W20,5,2,True
balanced,2025-W21,5,2,True
balanced,2025-W22,5,2,True
balanced,2025-W23,3,2,True
balanced,2025-W24,5,2,True
balanced,2025-W25,5,2,True
balanced,2025-W26,5,2,True
balanced,2025-W27,5,2,True
balanced,2025-W28,5,2,True
balanced,2025-W29,5,2,True
balanced,2025-W30,5,3,True
balanced,2025-W31,5,2,True
balanced,2025-W32,5,2,True
balanced,2025-W33,4,2,True
balanced,2025-W34,5,2,True
balanced,2025-W35,5,4,True
balanced,2025-W36,5,2,True
balanced,2025-W37,5,2,True
balanced,2025-W38,5,2,True
balanced,2025-W39,5,2,True
balanced,2025-W40,4,2,True
balanced,2025-W41,1,1,False
balanced,2025-W42,5,2,True
balanced,2025-W43,5,4,True
balanced,2025-W44,5,3,True
balanced,2025-W45,5,2,True
balanced,2025-W46,5,2,True
balanced,2025-W47,5,2,True
balanced,2025-W48,5,2,True
balanced,2025-W49,5,2,True
balanced,2025-W50,5,2,True
balanced,2025-W51,5,2,True
balanced,2025-W52,4,3,True
balanced,2026-W01,3,2,True
balanced,2026-W02,5,2,True
balanced,2026-W03,5,2,True
balanced,2026-W04,5,2,True
balanced,2026-W05,5,2,True
balanced,2026-W06,5,2,True
balanced,2026-W07,5,2,True
balanced,2026-W08,2,2,True
balanced,2026-W09,5,2,True
balanced,2026-W10,4,2,True
balanced,2026-W11,5,2,True
balanced,2026-W12,5,2,True
balanced,2026-W13,5,2,True
balanced,2026-W14,5,2,True
balanced,2026-W15,5,2,True
balanced,2026-W16,5,2,True
balanced,2026-W17,5,2,True
balanced,2026-W18,4,2,True
win_priority,2024-W01,4,2,True
win_priority,2024-W02,5,2,True
win_priority,2024-W03,5,2,True
win_priority,2024-W04,5,2,True
win_priority,2024-W05,5,2,True
win_priority,2024-W06,4,2,True
win_priority,2024-W07,4,2,True
win_priority,2024-W08,5,2,True
win_priority,2024-W09,4,2,True
win_priority,2024-W10,5,2,True
win_priority,2024-W11,5,3,True
win_priority,2024-W12,5,2,True
win_priority,2024-W13,5,2,True
win_priority,2024-W14,5,2,True
win_priority,2024-W15,4,2,True
win_priority,2024-W16,5,2,True
win_priority,2024-W17,5,2,True
win_priority,2024-W18,4,4,True
win_priority,2024-W19,4,2,True
win_priority,2024-W20,4,2,True
win_priority,2024-W21,5,2,True
win_priority,2024-W22,5,2,True
win_priority,2024-W23,4,2,True
win_priority,2024-W24,5,2,True
win_priority,2024-W25,5,2,True
win_priority,2024-W26,5,2,True
win_priority,2024-W27,5,2,True
win_priority,2024-W28,5,3,True
win_priority,2024-W29,5,2,True
win_priority,2024-W30,5,4,True
win_priority,2024-W31,5,2,True
win_priority,2024-W32,5,2,True
win_priority,2024-W33,4,2,True
win_priority,2024-W34,5,2,True
win_priority,2024-W35,5,2,True
win_priority,2024-W36,5,2,True
win_priority,2024-W37,5,2,True
win_priority,2024-W38,2,2,True
win_priority,2024-W39,5,2,True
win_priority,2024-W40,3,2,True
win_priority,2024-W41,4,2,True
win_priority,2024-W42,5,2,True
win_priority,2024-W43,5,2,True
win_priority,2024-W44,5,2,True
win_priority,2024-W45,5,2,True
win_priority,2024-W46,5,2,True
win_priority,2024-W47,5,2,True
win_priority,2024-W48,5,2,True
win_priority,2024-W49,5,2,True
win_priority,2024-W50,5,2,True
win_priority,2024-W51,5,2,True
win_priority,2024-W52,4,2,True
win_priority,2025-W01,3,2,True
win_priority,2025-W02,5,2,True
win_priority,2025-W03,5,3,True
win_priority,2025-W04,5,2,True
win_priority,2025-W05,1,1,False
win_priority,2025-W06,5,2,True
win_priority,2025-W07,5,2,True
win_priority,2025-W08,5,2,True
win_priority,2025-W09,5,2,True
win_priority,2025-W10,4,2,True
win_priority,2025-W11,5,2,True
win_priority,2025-W12,5,2,True
win_priority,2025-W13,5,2,True
win_priority,2025-W14,5,2,True
win_priority,2025-W15,5,2,True
win_priority,2025-W16,5,2,True
win_priority,2025-W17,5,2,True
win_priority,2025-W18,4,2,True
win_priority,2025-W19,3,2,True
win_priority,2025-W20,5,2,True
win_priority,2025-W21,5,2,True
win_priority,2025-W22,5,2,True
win_priority,2025-W23,3,2,True
win_priority,2025-W24,5,2,True
win_priority,2025-W25,5,2,True
win_priority,2025-W26,5,2,True
win_priority,2025-W27,5,2,True
win_priority,2025-W28,5,2,True
win_priority,2025-W29,5,2,True
win_priority,2025-W30,5,3,True
win_priority,2025-W31,5,2,True
win_priority,2025-W32,5,2,True
win_priority,2025-W33,4,2,True
win_priority,2025-W34,5,2,True
win_priority,2025-W35,5,4,True
win_priority,2025-W36,5,2,True
win_priority,2025-W37,5,2,True
win_priority,2025-W38,5,2,True
win_priority,2025-W39,5,2,True
win_priority,2025-W40,4,2,True
win_priority,2025-W41,1,1,False
win_priority,2025-W42,5,2,True
win_priority,2025-W43,5,4,True
win_priority,2025-W44,5,3,True
win_priority,2025-W45,5,2,True
win_priority,2025-W46,5,2,True
win_priority,2025-W47,5,2,True
win_priority,2025-W48,5,2,True
win_priority,2025-W49,5,2,True
win_priority,2025-W50,5,2,True
win_priority,2025-W51,5,2,True
win_priority,2025-W52,4,3,True
win_priority,2026-W01,3,2,True
win_priority,2026-W02,5,2,True
win_priority,2026-W03,5,2,True
win_priority,2026-W04,5,2,True
win_priority,2026-W05,5,2,True
win_priority,2026-W06,5,2,True
win_priority,2026-W07,5,2,True
win_priority,2026-W08,2,2,True
win_priority,2026-W09,5,2,True
win_priority,2026-W10,4,2,True
win_priority,2026-W11,5,2,True
win_priority,2026-W12,5,2,True
win_priority,2026-W13,5,2,True
win_priority,2026-W14,5,2,True
win_priority,2026-W15,5,2,True
win_priority,2026-W16,5,2,True
win_priority,2026-W17,5,2,True
win_priority,2026-W18,4,2,True
return_priority,2024-W01,4,2,True
return_priority,2024-W02,5,2,True
return_priority,2024-W03,5,2,True
return_priority,2024-W04,5,2,True
return_priority,2024-W05,5,2,True
return_priority,2024-W06,4,2,True
return_priority,2024-W07,4,2,True
return_priority,2024-W08,5,2,True
return_priority,2024-W09,4,2,True
return_priority,2024-W10,5,2,True
return_priority,2024-W11,5,3,True
return_priority,2024-W12,5,2,True
return_priority,2024-W13,5,2,True
return_priority,2024-W14,5,2,True
return_priority,2024-W15,4,2,True
return_priority,2024-W16,5,2,True
return_priority,2024-W17,5,2,True
return_priority,2024-W18,4,4,True
return_priority,2024-W19,4,2,True
return_priority,2024-W20,4,2,True
return_priority,2024-W21,5,2,True
return_priority,2024-W22,5,2,True
return_priority,2024-W23,4,2,True
return_priority,2024-W24,5,2,True
return_priority,2024-W25,5,2,True
return_priority,2024-W26,5,2,True
return_priority,2024-W27,5,2,True
return_priority,2024-W28,5,3,True
return_priority,2024-W29,5,2,True
return_priority,2024-W30,5,4,True
return_priority,2024-W31,5,2,True
return_priority,2024-W32,5,2,True
return_priority,2024-W33,4,2,True
return_priority,2024-W34,5,2,True
return_priority,2024-W35,5,2,True
return_priority,2024-W36,5,2,True
return_priority,2024-W37,5,2,True
return_priority,2024-W38,2,2,True
return_priority,2024-W39,5,2,True
return_priority,2024-W40,3,2,True
return_priority,2024-W41,4,2,True
return_priority,2024-W42,5,2,True
return_priority,2024-W43,5,2,True
return_priority,2024-W44,5,2,True
return_priority,2024-W45,5,2,True
return_priority,2024-W46,5,2,True
return_priority,2024-W47,5,2,True
return_priority,2024-W48,5,2,True
return_priority,2024-W49,5,2,True
return_priority,2024-W50,5,2,True
return_priority,2024-W51,5,2,True
return_priority,2024-W52,4,2,True
return_priority,2025-W01,3,2,True
return_priority,2025-W02,5,2,True
return_priority,2025-W03,5,3,True
return_priority,2025-W04,5,2,True
return_priority,2025-W05,1,1,False
return_priority,2025-W06,5,2,True
return_priority,2025-W07,5,2,True
return_priority,2025-W08,5,2,True
return_priority,2025-W09,5,2,True
return_priority,2025-W10,4,2,True
return_priority,2025-W11,5,2,True
return_priority,2025-W12,5,2,True
return_priority,2025-W13,5,2,True
return_priority,2025-W14,5,2,True
return_priority,2025-W15,5,2,True
return_priority,2025-W16,5,2,True
return_priority,2025-W17,5,2,True
return_priority,2025-W18,4,2,True
return_priority,2025-W19,3,2,True
return_priority,2025-W20,5,2,True
return_priority,2025-W21,5,2,True
return_priority,2025-W22,5,2,True
return_priority,2025-W23,3,2,True
return_priority,2025-W24,5,2,True
return_priority,2025-W25,5,2,True
return_priority,2025-W26,5,2,True
return_priority,2025-W27,5,2,True
return_priority,2025-W28,5,2,True
return_priority,2025-W29,5,2,True
return_priority,2025-W30,5,3,True
return_priority,2025-W31,5,2,True
return_priority,2025-W32,5,2,True
return_priority,2025-W33,4,2,True
return_priority,2025-W34,5,2,True
return_priority,2025-W35,5,4,True
return_priority,2025-W36,5,2,True
return_priority,2025-W37,5,2,True
return_priority,2025-W38,5,2,True
return_priority,2025-W39,5,2,True
return_priority,2025-W40,4,2,True
return_priority,2025-W41,1,1,False
return_priority,2025-W42,5,2,True
return_priority,2025-W43,5,4,True
return_priority,2025-W44,5,3,True
return_priority,2025-W45,5,2,True
return_priority,2025-W46,5,2,True
return_priority,2025-W47,5,2,True
return_priority,2025-W48,5,2,True
return_priority,2025-W49,5,2,True
return_priority,2025-W50,5,2,True
return_priority,2025-W51,5,2,True
return_priority,2025-W52,4,3,True
return_priority,2026-W01,3,2,True
return_priority,2026-W02,5,2,True
return_priority,2026-W03,5,2,True
return_priority,2026-W04,5,2,True
return_priority,2026-W05,5,2,True
return_priority,2026-W06,5,2,True
return_priority,2026-W07,5,2,True
return_priority,2026-W08,2,2,True
return_priority,2026-W09,5,2,True
return_priority,2026-W10,4,2,True
return_priority,2026-W11,5,2,True
return_priority,2026-W12,5,2,True
return_priority,2026-W13,5,2,True
return_priority,2026-W14,5,2,True
return_priority,2026-W15,5,2,True
return_priority,2026-W16,5,2,True
return_priority,2026-W17,5,2,True
return_priority,2026-W18,4,2,True
