policy,cost_pct,compound_pct,mean_trade_pct
v61_single,0.15,-6.392919277969089,0.022373058597588372
v8_max3,0.15,-5.9821011810304086,-0.3093247409619136
v8_single,0.15,-5.9821011810304086,-0.3093247409619136
v61_single,0.3,-44.83173161086514,-0.1276269414024116
v8_max3,0.3,-8.36077380835084,-0.45932474096191345
v8_single,0.3,-8.36077380835084,-0.45932474096191345
v61_single,0.6,-80.88332001266281,-0.4276269414024114
v8_max3,0.6,-12.94922381132948,-0.7593247409619134
v8_single,0.6,-12.94922381132948,-0.7593247409619134
v61_single,1.0,-95.37039037952299,-0.8276269414024117
v8_max3,1.0,-18.73149622461875,-1.1593247409619138
v8_single,1.0,-18.73149622461875,-1.1593247409619138
