test_month,test_first_day,train_rows,test_pool_rows,train_first_day,train_last_day,train_last_outcome,purged_boundary_labels
2024-01,2024-01-02,113,22,2023-10-05,2023-12-27,2023-12-28,2
2024-02,2024-02-01,134,29,2023-10-05,2024-01-30,2024-01-31,3
2024-03,2024-03-04,165,48,2023-10-05,2024-02-28,2024-02-29,1
2024-04,2024-04-01,213,39,2023-10-05,2024-03-28,2024-03-29,1
2024-05,2024-05-02,253,36,2023-10-05,2024-04-29,2024-04-30,0
2024-06,2024-06-03,288,40,2023-10-05,2024-05-28,2024-05-29,1
2024-07,2024-07-01,326,58,2023-10-05,2024-06-27,2024-06-28,3
2024-08,2024-08-01,384,47,2023-10-05,2024-07-30,2024-07-31,3
2024-09,2024-09-02,432,39,2023-10-05,2024-08-29,2024-08-30,2
2024-10,2024-10-02,473,38,2023-10-05,2024-09-27,2024-09-30,0
2024-11,2024-11-01,511,30,2023-10-05,2024-10-30,2024-10-31,0
2024-12,2024-12-02,541,37,2023-10-05,2024-11-28,2024-11-29,0
2025-01,2025-01-02,576,60,2023-10-05,2024-12-27,2024-12-30,2
2025-02,2025-02-03,636,47,2023-10-05,2025-01-24,2025-01-31,2
2025-03,2025-03-04,685,58,2023-10-05,2025-02-27,2025-02-28,0
2025-04,2025-04-01,743,19,2023-10-05,2025-03-27,2025-03-28,0
2025-05,2025-05-02,761,24,2023-10-05,2025-04-29,2025-04-30,1
2025-06,2025-06-02,784,33,2023-10-05,2025-05-29,2025-05-30,2
2025-07,2025-07-01,818,64,2023-10-05,2025-06-26,2025-06-27,1
2025-08,2025-08-01,881,46,2023-10-05,2025-07-30,2025-07-31,2
2025-09,2025-09-01,928,43,2023-10-05,2025-08-28,2025-08-29,1
2025-10,2025-10-01,971,62,2023-10-05,2025-09-29,2025-09-30,1
2025-11,2025-11-03,1031,37,2023-10-05,2025-10-30,2025-10-31,3
2025-12,2025-12-01,1070,38,2023-10-05,2025-11-26,2025-11-27,1
2026-01,2026-01-02,1106,29,2023-10-05,2025-12-29,2025-12-30,3
2026-02,2026-02-02,1137,31,2023-10-05,2026-01-27,2026-01-28,1
2026-03,2026-03-03,1168,20,2023-10-05,2026-02-26,2026-02-27,1
2026-04,2026-04-01,1189,29,2023-10-05,2026-03-27,2026-03-30,0
