policy,d,m,stocks,names,codes,ret,open_ret,close_ret,stop_lower,stop_upper,fixed_slots_ret,stop_ambiguous_stocks,hit3,evaluated,n
v8_max3,2024-01-02,2024-01,1,리노공업,058470,-4.55018435342227,-3.4328908851198876,-4.55018435342227,-3.4328908851198876,-3.4328908851198876,-1.5167281178074232,0,0,True,2024-01-03
v8_max3,2024-01-03,2024-01,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-01-04,2024-01,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-01-05,2024-01,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-01-08,2024-01,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-01-09,2024-01,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-01-10,2024-01,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-01-11,2024-01,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-01-12,2024-01,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-01-15,2024-01,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-01-16,2024-01,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-01-17,2024-01,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-01-18,2024-01,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-01-19,2024-01,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-01-22,2024-01,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-01-23,2024-01,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-01-24,2024-01,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-01-25,2024-01,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-01-26,2024-01,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-01-29,2024-01,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-01-30,2024-01,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-01-31,2024-01,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-02-01,2024-02,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-02-02,2024-02,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-02-05,2024-02,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-02-06,2024-02,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-02-07,2024-02,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-02-08,2024-02,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-02-13,2024-02,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-02-14,2024-02,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-02-15,2024-02,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-02-16,2024-02,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
v8_max3,2024-02-19,2024-02,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,
