variant,cost_pct,calendar_days,trade_days,stock_trades,wins,losses,win_rate_pct,compound_pct,mdd_pct,mean_trade_pct,worst_day_pct,weeks,eligible_weeks,weeks_ge2,weeks_lt2,weeks_ge2_pct,average_trade_days_per_week,minimum_trade_days_per_eligible_week,fallback_days,primary_days,fallback_share_pct,ambiguous_positions,missing_pair_rejections,complete,missing_result_days
return,0.15,567,464,464,236,228,50.86206896551724,302.78972785571557,-34.84360090836396,0.33925613640650343,-19.36225382932167,122,120,120,0,100.0,3.80327868852459,2,90,374,19.396551724137932,0,0,True,0
return,0.3,567,464,464,219,245,47.19827586206897,101.08341182606794,-45.2104899857647,0.18925613640650346,-19.51225382932167,122,120,120,0,100.0,3.80327868852459,2,90,374,19.396551724137932,0,0,True,0
return,0.5,567,464,464,199,265,42.88793103448276,-20.493569406509128,-57.859497854468344,-0.010743863593496585,-19.712253829321668,122,120,120,0,100.0,3.80327868852459,2,90,374,19.396551724137932,0,0,True,0
return,0.8,567,464,464,165,299,35.560344827586206,-80.30186403431918,-83.35864785996704,-0.31074386359349654,-20.01225382932167,122,120,120,0,100.0,3.80327868852459,2,90,374,19.396551724137932,0,0,True,0
win,0.15,567,274,274,146,128,53.284671532846716,128.503266689897,-20.73347910213571,0.33318759618802785,-19.36225382932167,122,120,120,0,100.0,2.2459016393442623,2,215,59,78.46715328467154,0,0,True,0
win,0.3,567,274,274,135,139,49.27007299270073,51.615866985762615,-29.092952641889237,0.18318759618802793,-19.51225382932167,122,120,120,0,100.0,2.2459016393442623,2,215,59,78.46715328467154,0,0,True,0
win,0.5,567,274,274,123,151,44.89051094890511,-12.340618725766927,-38.966417695481056,-0.016812403811972156,-19.712253829321668,122,120,120,0,100.0,2.2459016393442623,2,215,59,78.46715328467154,0,0,True,0
win,0.8,567,274,274,103,171,37.59124087591241,-61.542246136438784,-67.72140891143614,-0.31681240381197207,-20.01225382932167,122,120,120,0,100.0,2.2459016393442623,2,215,59,78.46715328467154,0,0,True,0
balanced,0.15,567,464,464,236,228,50.86206896551724,302.78972785571557,-34.84360090836396,0.33925613640650343,-19.36225382932167,122,120,120,0,100.0,3.80327868852459,2,90,374,19.396551724137932,0,0,True,0
balanced,0.3,567,464,464,219,245,47.19827586206897,101.08341182606794,-45.2104899857647,0.18925613640650346,-19.51225382932167,122,120,120,0,100.0,3.80327868852459,2,90,374,19.396551724137932,0,0,True,0
balanced,0.5,567,464,464,199,265,42.88793103448276,-20.493569406509128,-57.859497854468344,-0.010743863593496585,-19.712253829321668,122,120,120,0,100.0,3.80327868852459,2,90,374,19.396551724137932,0,0,True,0
balanced,0.8,567,464,464,165,299,35.560344827586206,-80.30186403431918,-83.35864785996704,-0.31074386359349654,-20.01225382932167,122,120,120,0,100.0,3.80327868852459,2,90,374,19.396551724137932,0,0,True,0
open_comparator,0.15,567,464,464,236,228,50.86206896551724,302.78972785571557,-34.84360090836396,0.33925613640650343,-19.36225382932167,122,120,120,0,100.0,3.80327868852459,2,90,374,19.396551724137932,0,0,True,0
open_comparator,0.3,567,464,464,219,245,47.19827586206897,101.08341182606794,-45.2104899857647,0.18925613640650346,-19.51225382932167,122,120,120,0,100.0,3.80327868852459,2,90,374,19.396551724137932,0,0,True,0
open_comparator,0.5,567,464,464,199,265,42.88793103448276,-20.493569406509128,-57.859497854468344,-0.010743863593496585,-19.712253829321668,122,120,120,0,100.0,3.80327868852459,2,90,374,19.396551724137932,0,0,True,0
open_comparator,0.8,567,464,464,165,299,35.560344827586206,-80.30186403431918,-83.35864785996704,-0.31074386359349654,-20.01225382932167,122,120,120,0,100.0,3.80327868852459,2,90,374,19.396551724137932,0,0,True,0
