variant,period,exit_policy,calendar_days,trade_days,stock_trades,wins,losses,win_rate_pct,compound_pct,mdd_pct,mean_trade_pct,worst_day_pct,weeks,eligible_weeks,weeks_ge2,weeks_lt2,weeks_ge2_pct,average_trade_days_per_week,minimum_trade_days_per_eligible_week,fallback_days,primary_days,fallback_share_pct,ambiguous_positions,missing_pair_rejections,complete,missing_result_days
return,2024,OPEN,244,203,203,83,120,40.88669950738916,7.5067825921848685,-45.2104899857647,0.07386813678065347,-7.558064516129037,53,52,52,0,100.0,3.830188679245283,2,43,160,21.182266009852217,0,0,True,0
return,2025,OPEN,242,203,203,101,102,49.75369458128079,55.708728096289015,-17.629770505270116,0.24343320000024218,-9.65897435897436,53,51,51,0,100.0,3.830188679245283,2,29,174,14.285714285714286,0,0,True,0
return,2026,OPEN,81,58,58,35,23,60.3448275862069,20.12334673191587,-23.957470772650392,0.4034944125188926,-19.51225382932167,18,17,17,0,100.0,3.2222222222222223,2,18,40,31.03448275862069,0,0,True,0
win,2024,OPEN,244,120,120,47,73,39.166666666666664,-9.831272600424379,-29.092952641889237,-0.06790663683937331,-4.55090720580612,53,52,52,0,100.0,2.2641509433962264,2,97,23,80.83333333333333,0,0,True,0
win,2025,OPEN,242,117,117,63,54,53.84615384615385,34.72918431870815,-12.102239708598006,0.27515885647952437,-5.4790633608815416,53,51,51,0,100.0,2.207547169811321,2,84,33,71.7948717948718,0,0,True,0
win,2026,OPEN,81,37,37,25,12,67.56756756756756,24.803577024346566,-20.563749279981426,0.7067192315713537,-19.51225382932167,18,17,17,0,100.0,2.0555555555555554,2,34,3,91.89189189189189,0,0,True,0
balanced,2024,OPEN,244,203,203,83,120,40.88669950738916,7.5067825921848685,-45.2104899857647,0.07386813678065347,-7.558064516129037,53,52,52,0,100.0,3.830188679245283,2,43,160,21.182266009852217,0,0,True,0
balanced,2025,OPEN,242,203,203,101,102,49.75369458128079,55.708728096289015,-17.629770505270116,0.24343320000024218,-9.65897435897436,53,51,51,0,100.0,3.830188679245283,2,29,174,14.285714285714286,0,0,True,0
balanced,2026,OPEN,81,58,58,35,23,60.3448275862069,20.12334673191587,-23.957470772650392,0.4034944125188926,-19.51225382932167,18,17,17,0,100.0,3.2222222222222223,2,18,40,31.03448275862069,0,0,True,0
open_comparator,2024,OPEN,244,203,203,83,120,40.88669950738916,7.5067825921848685,-45.2104899857647,0.07386813678065347,-7.558064516129037,53,52,52,0,100.0,3.830188679245283,2,43,160,21.182266009852217,0,0,True,0
open_comparator,2025,OPEN,242,203,203,101,102,49.75369458128079,55.708728096289015,-17.629770505270116,0.24343320000024218,-9.65897435897436,53,51,51,0,100.0,3.830188679245283,2,29,174,14.285714285714286,0,0,True,0
open_comparator,2026,OPEN,81,58,58,35,23,60.3448275862069,20.12334673191587,-23.957470772650392,0.4034944125188926,-19.51225382932167,18,17,17,0,100.0,3.2222222222222223,2,18,40,31.03448275862069,0,0,True,0
balanced,2024-2026-04,OPEN,567,464,464,219,245,47.19827586206897,101.08341182606794,-45.2104899857647,0.18925613640650346,-19.51225382932167,122,120,120,0,100.0,3.80327868852459,2,90,374,19.396551724137932,0,0,True,0
open_comparator,2024-2026-04,OPEN,567,464,464,219,245,47.19827586206897,101.08341182606794,-45.2104899857647,0.18925613640650346,-19.51225382932167,122,120,120,0,100.0,3.80327868852459,2,90,374,19.396551724137932,0,0,True,0
return,2024-2026-04,OPEN,567,464,464,219,245,47.19827586206897,101.08341182606794,-45.2104899857647,0.18925613640650346,-19.51225382932167,122,120,120,0,100.0,3.80327868852459,2,90,374,19.396551724137932,0,0,True,0
win,2024-2026-04,OPEN,567,274,274,135,139,49.27007299270073,51.615866985762615,-29.092952641889237,0.18318759618802793,-19.51225382932167,122,120,120,0,100.0,2.2459016393442623,2,215,59,78.46715328467154,0,0,True,0
